filename,average_planning_score,average_communication_score,average_kpi_score,average_total_milestones,average_innovation,average_safety,average_feasibility,average_task_score,average_token_usage
chain_research_gpt4o-mini.jsonl,4.395348837209302,4,0.7849083302571674,5.813953488372093,4.953488372093023,3.883720930232558,3.953488372093023,4.263565891472868,79986.6511627907
tree_research_gpt3.5.jsonl,4.243055555555555,3.9796747967479673,0.6032495590828925,4.9523809523809526,4.666666666666667,3.9375,3.9166666666666665,4.173611111111111,117068.47916666667
chain_research_gpt3.5.jsonl,4.304347826086956,3.618217054263566,0.5849837662337662,5.090909090909091,4.608695652173913,3.9347826086956523,3.8043478260869565,4.115942028985507,114790.08695652174
tree_research_gpt4o-mini.jsonl,4.4772727272727275,5,0.7524034992784993,5.931818181818182,4.818181818181818,3.9545454545454546,3.8181818181818183,4.196969696969696,89290.11363636363
tree_research_Llama3.1_70B.jsonl,4,5,0.7833333333333333,6,5,3,4,4.0,104636.5
graph_research_gpt3.5.jsonl,4.2677304964539005,3.942982456140351,0.6509275006298816,4.833333333333333,4.680851063829787,3.9148936170212765,3.8085106382978724,4.134751773049645,113625.34042553192
chain_research_Llama3.1_70B.jsonl,4.5,5,0.7777777777777777,3,5,4,4,4.333333333333333,58132
graph_research_gpt4o-mini.jsonl,4.369047619047619,4.2,0.7549366969009826,5.904761904761905,4.880952380952381,3.9285714285714284,3.9047619047619047,4.238095238095238,86983.45238095238
star_research_gpt3.5.jsonl,4.174418604651163,3.588235294117647,0.5980829784488321,4.780487804878049,4.674418604651163,3.883720930232558,3.813953488372093,4.124031007751938,109190.6511627907
star_research_gpt4o-mini.jsonl,4.430232558139535,4.25,0.7472006890611541,5.883720930232558,4.953488372093023,3.953488372093023,3.86046511627907,4.255813953488372,81566.27906976744
star_research_Llama3.1_70B.jsonl,4,,0.6666666666666666,4,5,4,4,4.333333333333333,87290
graph_research_Llama3.1_70B.jsonl,4.27906976744186,4.333333333333333,0.8103621031746032,4.925,4.72093023255814,3.744186046511628,3.953488372093023,4.13953488372093,91316.86046511628
